日期,医生等级,每日病例量,每日总费用,每日费用病例比,该等级医生数量,工作日/周末
2025-01-01,中级,17.5,7860.0,449.14,2,工作日
2025-01-01,初级,6.5,3330.0,512.31,2,工作日
2025-01-01,高级,21.5,11616.0,540.28,2,工作日
2025-01-02,中级,16.5,8860.0,536.97,2,工作日
2025-01-02,初级,6.0,2930.0,488.33,3,工作日
2025-01-02,高级,14.33,6994.0,487.95,3,工作日
2025-01-03,中级,10.75,5160.5,480.05,4,工作日
2025-01-03,初级,5.0,2340.0,468.0,2,工作日
2025-01-03,高级,14.5,7982.4,550.51,2,工作日
2025-01-04,中级,15.0,7345.0,489.67,2,周末
2025-01-04,初级,10.0,6850.0,685.0,1,周末
2025-01-04,高级,15.5,8574.0,553.16,4,周末
2025-01-05,中级,15.0,7530.0,502.0,1,周末
2025-01-05,高级,17.8,9328.6,524.08,5,周末
2025-01-06,中级,16.5,7400.0,448.48,2,工作日
2025-01-06,初级,4.0,2023.33,505.83,3,工作日
2025-01-06,高级,11.0,5416.0,492.36,3,工作日
2025-01-07,中级,9.75,4615.0,473.33,4,工作日
2025-01-07,初级,4.5,1985.0,441.11,2,工作日
2025-01-07,高级,17.5,7357.4,420.42,2,工作日
2025-01-08,中级,12.67,6051.33,477.74,3,工作日
2025-01-08,初级,5.0,2546.0,509.2,3,工作日
2025-01-08,高级,15.0,7789.0,519.27,2,工作日
2025-01-09,中级,15.67,8816.0,562.72,3,工作日
2025-01-09,初级,6.67,3766.0,564.9,3,工作日
2025-01-09,高级,27.0,13732.0,508.59,2,工作日
2025-01-10,中级,12.67,7096.67,560.26,3,工作日
2025-01-10,初级,7.0,4320.0,617.14,2,工作日
2025-01-10,高级,8.33,4958.33,595.0,3,工作日
2025-01-11,中级,17.5,10523.0,601.31,2,周末
2025-01-11,初级,4.5,2100.0,466.67,2,周末
2025-01-11,高级,20.0,10242.5,512.12,4,周末
2025-01-12,中级,17.5,9694.0,553.94,2,周末
2025-01-12,初级,4.0,2600.0,650.0,1,周末
2025-01-12,高级,19.5,10047.5,515.26,4,周末
2025-01-13,中级,11.75,5826.5,495.87,4,工作日
2025-01-13,初级,2.0,1210.0,605.0,1,工作日
2025-01-13,高级,13.0,6383.0,491.0,2,工作日
2025-01-14,中级,11.25,5474.0,486.58,4,工作日
2025-01-14,初级,6.0,3020.0,503.33,4,工作日
2025-01-14,高级,12.33,5868.0,475.78,3,工作日
2025-01-15,中级,9.4,4206.0,447.45,5,工作日
2025-01-15,初级,6.33,3293.33,520.0,3,工作日
2025-01-15,高级,15.0,7779.6,518.64,3,工作日
2025-01-16,中级,12.33,5580.0,452.43,3,工作日
2025-01-16,初级,7.5,3407.5,454.33,4,工作日
2025-01-16,高级,13.5,6610.0,489.63,2,工作日
2025-01-17,中级,14.0,7159.0,511.36,2,工作日
2025-01-17,初级,9.0,4020.0,446.67,2,工作日
2025-01-17,高级,7.75,3697.0,477.03,4,工作日
2025-01-18,中级,17.0,9413.0,553.71,2,周末
2025-01-18,初级,9.0,3540.0,393.33,1,周末
2025-01-18,高级,16.67,7848.67,470.92,3,周末
2025-01-19,中级,12.5,6267.0,501.36,4,周末
2025-01-19,高级,12.0,6269.0,522.42,4,周末
2025-01-20,中级,12.0,5959.5,496.62,4,工作日
2025-01-20,初级,6.75,3242.0,480.3,4,工作日
2025-01-20,高级,15.0,7323.0,488.2,2,工作日
2025-01-21,中级,16.0,8466.67,529.17,3,工作日
2025-01-21,初级,7.5,3760.0,501.33,2,工作日
2025-01-21,高级,10.0,4967.33,496.73,3,工作日
2025-01-22,中级,8.75,5302.25,605.97,4,工作日
2025-01-22,初级,6.67,3513.33,527.0,3,工作日
2025-01-22,高级,12.5,6134.0,490.72,2,工作日
2025-01-23,中级,10.0,3918.5,391.85,4,工作日
2025-01-23,初级,7.33,3690.0,503.18,3,工作日
2025-01-23,高级,8.67,4044.0,466.62,3,工作日
2025-01-24,中级,12.67,5513.33,435.26,3,工作日
2025-01-24,初级,6.0,2250.0,375.0,1,工作日
2025-01-24,高级,8.0,3218.0,402.25,3,工作日
2025-01-25,中级,17.5,8331.0,476.06,2,周末
2025-01-25,高级,13.25,6781.0,511.77,4,周末
2025-01-26,中级,8.5,3740.0,440.0,2,周末
2025-01-26,高级,15.5,6952.2,448.53,4,周末
2025-01-27,中级,10.0,4856.0,485.6,1,工作日
2025-01-27,高级,11.0,5453.33,495.76,3,工作日
2025-02-05,中级,13.75,6741.5,490.29,4,工作日
2025-02-05,高级,17.5,9494.0,542.51,2,工作日
2025-02-06,中级,16.67,9542.67,572.56,3,工作日
2025-02-06,初级,3.0,1800.0,600.0,1,工作日
2025-02-06,高级,7.0,3921.5,560.21,4,工作日
2025-02-07,中级,19.0,9498.27,499.91,3,工作日
2025-02-07,初级,9.0,4830.0,536.67,1,工作日
2025-02-07,高级,18.5,9525.0,514.86,2,工作日
2025-02-08,中级,13.0,6702.67,515.59,3,周末
2025-02-08,初级,7.0,2990.0,427.14,1,周末
2025-02-08,高级,13.0,6109.33,469.95,3,周末
2025-02-09,中级,12.0,6473.33,539.44,3,周末
2025-02-09,初级,5.5,2535.0,460.91,2,周末
2025-02-09,高级,15.4,8220.0,533.77,5,周末
2025-02-10,中级,13.0,6014.5,462.65,4,工作日
2025-02-10,初级,10.0,4560.0,456.0,1,工作日
2025-02-10,高级,11.33,4876.33,430.26,3,工作日
2025-02-11,中级,14.67,7679.33,523.59,3,工作日
2025-02-11,初级,6.0,2995.0,499.17,2,工作日
2025-02-11,高级,11.67,5066.67,434.29,3,工作日
2025-02-12,中级,13.5,7000.0,518.52,4,工作日
2025-02-12,初级,6.5,3570.0,549.23,2,工作日
2025-02-12,高级,18.5,9676.0,523.03,2,工作日
2025-02-13,中级,23.5,10143.75,431.65,2,工作日
2025-02-13,初级,9.5,4370.0,460.0,2,工作日
2025-02-13,高级,20.5,10684.0,521.17,2,工作日
2025-02-14,中级,11.75,6222.0,529.53,4,工作日
2025-02-14,初级,8.0,4210.0,526.25,1,工作日
2025-02-14,高级,10.0,4572.67,457.27,3,工作日
2025-02-15,中级,17.0,9473.33,557.25,3,周末
2025-02-15,初级,11.0,5525.0,502.27,2,周末
2025-02-15,高级,20.0,9881.33,494.07,3,周末
2025-02-16,中级,16.5,8475.0,513.64,2,周末
2025-02-16,高级,20.5,11204.0,546.54,4,周末
2025-02-17,中级,14.5,8046.5,554.93,4,工作日
2025-02-17,初级,12.0,6490.0,540.83,1,工作日
2025-02-17,高级,14.0,6993.33,499.52,3,工作日
2025-02-18,中级,19.5,9329.0,478.41,2,工作日
2025-02-18,初级,9.0,4840.0,537.78,3,工作日
2025-02-18,高级,14.67,7939.33,541.32,3,工作日
2025-02-19,中级,15.0,9210.0,614.0,2,工作日
2025-02-19,初级,10.0,4480.0,448.0,2,工作日
2025-02-19,高级,15.5,7534.0,486.06,2,工作日
2025-02-20,中级,16.33,8584.33,525.57,3,工作日
2025-02-20,高级,8.33,4398.33,527.8,3,工作日
2025-02-21,中级,14.67,7085.0,483.07,3,工作日
2025-02-21,初级,8.33,3936.0,472.32,3,工作日
2025-02-21,高级,16.5,8409.0,509.64,2,工作日
2025-02-22,中级,18.5,10110.0,546.49,2,周末
2025-02-22,初级,9.0,5650.0,627.78,1,周末
2025-02-22,高级,14.2,7764.0,546.76,5,周末
2025-02-23,中级,12.67,6233.33,492.11,3,周末
2025-02-23,初级,8.0,4475.0,559.38,2,周末
2025-02-23,高级,19.0,9705.0,510.79,4,周末
2025-02-24,中级,14.5,6993.0,482.28,2,工作日
2025-02-24,初级,6.0,2740.0,456.67,2,工作日
2025-02-24,高级,12.0,5632.33,469.36,3,工作日
2025-02-25,中级,10.75,5010.0,466.05,4,工作日
2025-02-25,初级,8.33,3863.33,463.6,3,工作日
2025-02-25,高级,12.5,5990.0,479.2,2,工作日
2025-02-26,中级,11.75,5860.0,498.72,4,工作日
2025-02-26,初级,8.5,5645.0,664.12,2,工作日
2025-02-26,高级,12.5,6804.0,544.32,2,工作日
2025-02-27,中级,15.0,8775.0,585.0,2,工作日
2025-02-27,初级,10.5,5625.0,535.71,4,工作日
2025-02-27,高级,17.5,8643.0,493.89,2,工作日
2025-02-28,中级,14.67,7612.0,519.0,3,工作日
2025-02-28,初级,6.5,2865.0,440.77,2,工作日
2025-02-28,高级,16.5,8063.0,488.67,2,工作日
2025-03-01,中级,20.0,10956.0,547.8,1,周末
2025-03-01,高级,14.5,6896.33,475.61,6,周末
2025-03-02,中级,17.0,8573.33,504.31,3,周末
2025-03-02,初级,7.5,3715.0,495.33,2,周末
2025-03-02,高级,14.2,7100.0,500.0,5,周末
2025-03-03,中级,18.0,11544.0,641.33,2,工作日
2025-03-03,初级,10.0,5160.0,516.0,2,工作日
2025-03-03,高级,11.0,5827.5,529.77,4,工作日
2025-03-04,中级,20.5,11135.0,543.17,2,工作日
2025-03-04,初级,8.8,4670.0,530.68,5,工作日
2025-03-04,高级,13.0,6976.0,536.62,3,工作日
2025-03-05,中级,20.0,9856.0,492.8,2,工作日
2025-03-05,初级,8.2,4280.0,521.95,5,工作日
2025-03-05,高级,17.5,8779.0,501.66,2,工作日
2025-03-06,中级,11.5,5816.0,505.74,4,工作日
2025-03-06,初级,7.67,4450.0,580.43,3,工作日
2025-03-06,高级,14.5,8298.0,572.28,2,工作日
2025-03-07,中级,11.75,5770.0,491.06,4,工作日
2025-03-07,初级,8.33,4303.33,516.4,3,工作日
2025-03-07,高级,16.5,7129.0,432.06,2,工作日
2025-03-08,中级,14.0,7639.0,545.64,2,周末
2025-03-08,高级,14.8,6921.6,467.68,5,周末
