"房间号","诊室","日期","月","日","星期","专科","医生","放号数","预约数","总接诊数","线上空号数","线下加号数"
"1","诊室1","2026-01-01 00:00:00","1","1","星期四","外科","季玲西","27","25","25","2","0"
"10","诊室10","2026-01-01 00:00:00","1","1","星期四","内科","孙艳争","15","14","14","1","0"
"11","诊室11","2026-01-01 00:00:00","1","1","星期四","中兽医专科","钟沅","18","16","16","2","0"
"2","诊室2","2026-01-01 00:00:00","1","1","星期四","外科","成安慰","18","17","17","1","0"
"201","诊室12","2026-01-01 00:00:00","1","1","星期四","眼科","李晶","18","18","27","0","9"
"207","诊室14","2026-01-01 00:00:00","1","1","星期四","猫科","王思莹","18","11","17","7","6"
"208","诊室15","2026-01-01 00:00:00","1","1","星期四","皮肤科","胡燕丽","27","24","30","3","6"
"209","诊室16","2026-01-01 00:00:00","1","1","星期四","内科","史婉婷","12","11","13","1","2"
"210","诊室17","2026-01-01 00:00:00","1","1","星期四","预防医学","胡宜","40","15","15","25","0"
"211","诊室18","2026-01-01 00:00:00","1","1","星期四","肿瘤科","董军","18","15","15","3","0"
"3","诊室3","2026-01-01 00:00:00","1","1","星期四","外科","薛琴","18","16","19","2","3"
"4","诊室4","2026-01-01 00:00:00","1","1","星期四","骨科","张彬","18","18","22","0","4"
"5","诊室5","2026-01-01 00:00:00","1","1","星期四","神经科","张志轩","27","20","23","7","3"
"6","诊室6","2026-01-01 00:00:00","1","1","星期四","内科","蒋玉洁","27","22","28","5","6"
"7","诊室7","2026-01-01 00:00:00","1","1","星期四","内科","刘小萍","18","15","32","3","17"
"8","诊室8","2026-01-01 00:00:00","1","1","星期四","内科","肖园","18","16","28","2","12"
"9","诊室9","2026-01-01 00:00:00","1","1","星期四","肿瘤科","李祎宇","27","24","27","3","3"
"1","诊室1","2026-01-02 00:00:00","1","2","星期五","外科","胡瑭琦","27","26","35","1","9"
"10","诊室10","2026-01-02 00:00:00","1","2","星期五","中兽医专科","向雅頔","18","18","19","0","1"
"11","诊室11","2026-01-02 00:00:00","1","2","星期五","中兽医专科","林如莹","31","24","27","7","3"
"2","诊室2","2026-01-02 00:00:00","1","2","星期五","外科","石昊","18","18","18","0","0"
"201","诊室12","2026-01-02 00:00:00","1","2","星期五","外科","张晗","18","18","14","0","-4"
"207","诊室14","2026-01-02 00:00:00","1","2","星期五","猫科","陈艳云","18","15","19","3","4"
"208","诊室15","2026-01-02 00:00:00","1","2","星期五","皮肤科","林嘉宝","27","25","32","2","7"
"209","诊室16","2026-01-02 00:00:00","1","2","星期五","内科","孙艳争","15","13","14","2","1"
"210","诊室17","2026-01-02 00:00:00","1","2","星期五","预防医学","黎倩岚","40","25","25","15","0"
"211","诊室18","2026-01-02 00:00:00","1","2","星期五","内科","俞峰","20","19","20","1","1"
"3","诊室3","2026-01-02 00:00:00","1","2","星期五","外科","郑栋强","27","27","28","0","1"
"4","诊室4","2026-01-02 00:00:00","1","2","星期五","外科","李慧","18","17","18","1","1"
"5","诊室5","2026-01-02 00:00:00","1","2","星期五","神经科","周雪影","18","15","17","3","2"
"6","诊室6","2026-01-02 00:00:00","1","2","星期五","内科","张琼","27","26","31","1","5"
"7","诊室7","2026-01-02 00:00:00","1","2","星期五","内科","张海霞","18","15","16","3","1"
"8","诊室8","2026-01-02 00:00:00","1","2","星期五","内科","周媛媛","18","13","16","5","3"
"9","诊室9","2026-01-02 00:00:00","1","2","星期五","肿瘤科","董军","18","17","22","1","5"
"1","诊室1","2026-01-03 00:00:00","1","3","星期六","外科","李艺","27","25","25","2","0"
"10","诊室10","2026-01-03 00:00:00","1","3","星期六","内科","丛心宇","27","25","23","2","-2"
"11","诊室11","2026-01-03 00:00:00","1","3","星期六","中兽医专科","庞海东","27","24","62","3","38"
"2","诊室2","2026-01-03 00:00:00","1","3","星期六","外科","石昊","27","22","20","5","-2"
"201","诊室12","2026-01-03 00:00:00","1","3","星期六","眼科","庞茉","27","26","41","1","15"
"207","诊室14","2026-01-03 00:00:00","1","3","星期六","猫科","黄薇","27","21","28","6","7"
"208","诊室15","2026-01-03 00:00:00","1","3","星期六","皮肤科","林嘉宝","6","5","6","1","1"
