日期,日期性质,等待时长区间,该时长对应病例数
2023-10-13,周五,0.5h,1
2023-10-14,周六,0.5h,19
2023-10-14,周六,1.5h,1
2023-10-16,周一,0.5h,1
2023-10-19,周四,0.5h,64
2023-10-19,周四,1h,2
2023-10-19,周四,1.5h,1
2023-10-20,周五,0.5h,45
2023-10-20,周五,1h,3
2023-10-20,周五,1.5h,1
2023-10-21,周六,0.5h,77
2023-10-21,周六,1h,5
2023-10-22,周日,0.5h,100
2023-10-22,周日,1h,1
2023-10-23,周一,0.5h,51
2023-10-23,周一,1h,2
2023-10-24,周二,0.5h,7
2023-10-24,周二,1h,9
2023-10-24,周二,1.5h,19
2023-10-24,周二,2h,16
2023-10-24,周二,2.5h,4
2023-10-24,周二,3h,3
2023-10-24,周二,4h+,2
2023-10-25,周三,0.5h,18
2023-10-25,周三,1h,24
2023-10-25,周三,1.5h,6
2023-10-25,周三,2h,2
2023-10-26,周四,0.5h,5
2023-10-26,周四,1h,11
2023-10-26,周四,1.5h,11
2023-10-26,周四,2h,13
2023-10-26,周四,2.5h,16
2023-10-26,周四,3h,11
2023-10-26,周四,3.5h,9
2023-10-26,周四,4h,1
2023-10-27,周五,0.5h,11
2023-10-27,周五,1h,24
2023-10-27,周五,1.5h,15
2023-10-27,周五,2h,12
2023-10-27,周五,2.5h,3
2023-10-27,周五,3h,2
2023-10-27,周五,4h+,1
2023-10-28,周六,0.5h,8
2023-10-28,周六,1h,18
2023-10-28,周六,1.5h,14
2023-10-28,周六,2h,26
2023-10-28,周六,2.5h,29
2023-10-28,周六,3h,1
2023-10-28,周六,3.5h,1
2023-10-28,周六,4h+,2
2023-10-29,周日,0.5h,11
2023-10-29,周日,1h,14
2023-10-29,周日,1.5h,33
2023-10-29,周日,2h,19
2023-10-29,周日,2.5h,1
2023-10-30,周一,0.5h,23
2023-10-30,周一,1h,17
2023-10-30,周一,1.5h,2
2023-10-30,周一,2.5h,1
2023-10-30,周一,3h,1
2023-10-31,周二,0.5h,8
2023-10-31,周二,1h,19
2023-10-31,周二,1.5h,20
