日期,日期性质,等待时长区间,该时长对应病例数
2023-10-13,周五,0:00-0:30,1
2023-10-14,周六,0:00-0:30,19
2023-10-14,周六,1:00-1:30,1
2023-10-16,周一,0:00-0:30,1
2023-10-19,周四,0:00-0:30,64
2023-10-19,周四,0:30-1:00,2
2023-10-19,周四,1:00-1:30,1
2023-10-20,周五,0:00-0:30,45
2023-10-20,周五,0:30-1:00,3
2023-10-20,周五,1:00-1:30,1
2023-10-21,周六,0:00-0:30,77
2023-10-21,周六,0:30-1:00,5
2023-10-22,周日,0:00-0:30,100
2023-10-22,周日,0:30-1:00,1
2023-10-23,周一,0:00-0:30,51
2023-10-23,周一,0:30-1:00,2
2023-10-24,周二,0:00-0:30,7
2023-10-24,周二,0:30-1:00,9
2023-10-24,周二,1:00-1:30,19
2023-10-24,周二,1:30-2:00,16
2023-10-24,周二,2:00-2:30,4
2023-10-24,周二,2:30-3:00,3
2023-10-24,周二,>4:00,2
2023-10-25,周三,0:00-0:30,18
2023-10-25,周三,0:30-1:00,24
2023-10-25,周三,1:00-1:30,6
2023-10-25,周三,1:30-2:00,2
2023-10-26,周四,0:00-0:30,5
2023-10-26,周四,0:30-1:00,11
2023-10-26,周四,1:00-1:30,11
2023-10-26,周四,1:30-2:00,13
2023-10-26,周四,2:00-2:30,16
2023-10-26,周四,2:30-3:00,11
2023-10-26,周四,3:00-3:30,9
2023-10-26,周四,3:30-4:00,1
2023-10-27,周五,0:00-0:30,11
2023-10-27,周五,0:30-1:00,24
2023-10-27,周五,1:00-1:30,15
2023-10-27,周五,1:30-2:00,12
2023-10-27,周五,2:00-2:30,3
2023-10-27,周五,2:30-3:00,2
2023-10-27,周五,>4:00,1
2023-10-28,周六,0:00-0:30,8
2023-10-28,周六,0:30-1:00,18
2023-10-28,周六,1:00-1:30,14
2023-10-28,周六,1:30-2:00,26
2023-10-28,周六,2:00-2:30,29
2023-10-28,周六,2:30-3:00,1
2023-10-28,周六,3:00-3:30,1
2023-10-28,周六,>4:00,2
2023-10-29,周日,0:00-0:30,11
2023-10-29,周日,0:30-1:00,14
2023-10-29,周日,1:00-1:30,33
2023-10-29,周日,1:30-2:00,19
2023-10-29,周日,2:00-2:30,1
2023-10-30,周一,0:00-0:30,23
2023-10-30,周一,0:30-1:00,17
2023-10-30,周一,1:00-1:30,2
2023-10-30,周一,2:00-2:30,1
2023-10-30,周一,2:30-3:00,1
2023-10-31,周二,0:00-0:30,8
2023-10-31,周二,0:30-1:00,19
2023-10-31,周二,1:00-1:30,20
2023-10-31,周二,1:30-2:00,12
2023-10-31,周二,2:00-2:30,2
2023-10-31,周二,3:00-3:30,1
2023-10-31,周二,>4:00,1
2023-11-01,周三,0:00-0:30,3
2023-11-01,周三,0:30-1:00,11
2023-11-01,周三,1:00-1:30,17
2023-11-01,周三,1:30-2:00,13
2023-11-01,周三,2:00-2:30,6
2023-11-01,周三,3:00-3:30,4
2023-11-01,周三,3:30-4:00,6
2023-11-01,周三,>4:00,5
2023-11-02,周四,0:00-0:30,3
2023-11-02,周四,0:30-1:00,13
2023-11-02,周四,1:00-1:30,11
2023-11-02,周四,1:30-2:00,9
2023-11-02,周四,2:00-2:30,7
2023-11-02,周四,2:30-3:00,4
2023-11-02,周四,3:00-3:30,3
2023-11-02,周四,3:30-4:00,2
2023-11-02,周四,>4:00,6
2023-11-03,周五,0:00-0:30,17
2023-11-03,周五,0:30-1:00,21
2023-11-03,周五,1:00-1:30,18
2023-11-03,周五,1:30-2:00,4
2023-11-04,周六,0:00-0:30,8
2023-11-04,周六,0:30-1:00,29
2023-11-04,周六,1:00-1:30,24
2023-11-04,周六,1:30-2:00,16
2023-11-04,周六,2:00-2:30,12
2023-11-04,周六,2:30-3:00,8
2023-11-05,周日,0:00-0:30,15
2023-11-05,周日,0:30-1:00,31
2023-11-05,周日,1:00-1:30,21
2023-11-05,周日,1:30-2:00,12
2023-11-05,周日,2:00-2:30,7
2023-11-05,周日,2:30-3:00,2
2023-11-05,周日,3:00-3:30,1
2023-11-05,周日,3:30-4:00,1
2023-11-05,周日,>4:00,1
2023-11-06,周一,0:00-0:30,19
2023-11-06,周一,0:30-1:00,18
2023-11-06,周一,1:00-1:30,5
2023-11-06,周一,1:30-2:00,1
2023-11-07,周二,0:00-0:30,13
2023-11-07,周二,0:30-1:00,39
2023-11-07,周二,1:00-1:30,16
2023-11-07,周二,1:30-2:00,5
2023-11-07,周二,2:00-2:30,1
2023-11-07,周二,3:30-4:00,1
2023-11-07,周二,>4:00,1
2023-11-08,周三,0:00-0:30,10
2023-11-08,周三,0:30-1:00,16
2023-11-08,周三,1:00-1:30,21
2023-11-08,周三,1:30-2:00,7
2023-11-08,周三,2:00-2:30,4
2023-11-08,周三,2:30-3:00,2
2023-11-08,周三,3:00-3:30,2
2023-11-08,周三,>4:00,1
2023-11-09,周四,0:00-0:30,15
2023-11-09,周四,0:30-1:00,21
2023-11-09,周四,1:00-1:30,9
2023-11-09,周四,1:30-2:00,5
2023-11-09,周四,2:00-2:30,4
2023-11-09,周四,2:30-3:00,1
2023-11-09,周四,>4:00,1
2023-11-10,周五,0:00-0:30,8
2023-11-10,周五,0:30-1:00,15
2023-11-10,周五,1:00-1:30,10
2023-11-10,周五,1:30-2:00,15
2023-11-10,周五,2:00-2:30,9
2023-11-10,周五,2:30-3:00,1
2023-11-11,周六,0:00-0:30,16
2023-11-11,周六,0:30-1:00,32
2023-11-11,周六,1:00-1:30,19
2023-11-11,周六,1:30-2:00,9
2023-11-11,周六,2:00-2:30,3
2023-11-11,周六,2:30-3:00,1
2023-11-11,周六,>4:00,1
